2025-11-25 16:10:09 | Coke 300ml Bottle | QTY: 20 | UNIT PRICE: 25.00 | SUBTOTAL: 500.00 | ACTION: SALE
2025-11-19 09:12:45 | Shampoo | QTY: 3 | UNIT PRICE: 150.00 | SUBTOTAL: 450.00 | ACTION: SALE
2025-11-19 11:35:21 | Soap | QTY: 5 | UNIT PRICE: 50.00 | SUBTOTAL: 250.00 | ACTION: SALE
2025-11-19 14:08:10 | Rice | QTY: 2 | UNIT PRICE: 120.00 | SUBTOTAL: 240.00 | ACTION: SALE
2025-11-20 10:20:33 | Shampoo | QTY: 2 | UNIT PRICE: 150.00 | SUBTOTAL: 300.00 | ACTION: SALE
2025-11-20 13:45:55 | Soap | QTY: 3 | UNIT PRICE: 50.00 | SUBTOTAL: 150.00 | ACTION: SALE
2025-11-21 08:50:12 | Rice | QTY: 1 | UNIT PRICE: 120.00 | SUBTOTAL: 120.00 | ACTION: SALE
2025-11-21 12:30:47 | Shampoo | QTY: 4 | UNIT PRICE: 150.00 | SUBTOTAL: 600.00 | ACTION: SALE
2025-11-22 09:15:08 | Soap | QTY: 2 | UNIT PRICE: 50.00 | SUBTOTAL: 100.00 | ACTION: SALE
2025-11-22 16:45:33 | Rice | QTY: 5 | UNIT PRICE: 120.00 | SUBTOTAL: 600.00 | ACTION: SALE
2025-11-23 10:05:20 | Shampoo | QTY: 1 | UNIT PRICE: 150.00 | SUBTOTAL: 150.00 | ACTION: SALE
2025-11-23 11:22:54 | Soap | QTY: 4 | UNIT PRICE: 50.00 | SUBTOTAL: 200.00 | ACTION: SALE
2025-11-23 15:18:12 | Rice | QTY: 3 | UNIT PRICE: 120.00 | SUBTOTAL: 360.00 | ACTION: SALE
2025-11-24 09:47:35 | Shampoo | QTY: 5 | UNIT PRICE: 150.00 | SUBTOTAL: 750.00 | ACTION: SALE
2025-11-24 12:35:10 | Soap | QTY: 6 | UNIT PRICE: 50.00 | SUBTOTAL: 300.00 | ACTION: SALE
2025-11-24 14:58:44 | Rice | QTY: 2 | UNIT PRICE: 120.00 | SUBTOTAL: 240.00 | ACTION: SALE
2025-11-25 08:30:05 | Shampoo | QTY: 2 | UNIT PRICE: 150.00 | SUBTOTAL: 300.00 | ACTION: SALE
2025-11-25 11:15:30 | Soap | QTY: 3 | UNIT PRICE: 50.00 | SUBTOTAL: 150.00 | ACTION: SALE
2025-11-25 13:45:22 | Rice | QTY: 1 | UNIT PRICE: 120.00 | SUBTOTAL: 120.00 | ACTION: SALE
2025-11-25 17:17:38 | Bear Brand Sachet 33g | QTY: 60 | UNIT PRICE: 15.00 | SUBTOTAL: 900.00 | ACTION: SALE
